Autor/a (atribución tradicional),Atribución actual,Obra en español,Obra,Compañía,País,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena / Diseño gráfico / Fotografía,Vestuario / Maquillaje,Movimiento,Producción,Lugar de estreno
Miguel de Cervantes,,El vuelo de don Quijote; Don Quijote,El vuelo de don Quijote,Teatro Avante,Estados Unidos,"Raquel Carrió, Lilliam Vega",8/06/2003,Festival Internacional de Teatro Hispano de Miami,,,Lilliam Vega,,"Jorge Hernández, Neher Jacqueline Briceño, Gerardo Riberón",Vladimir Ameneiro,Héctor Agüero,,,,Mario Ernesto Sánchez,Teatro Avante (Florida)
Miguel de Cervantes,,"Cervantes, maestro del entremés [El rufián viudo, El vizcaíno fingido, La cueva de Salamanca, El juez de los divorcios, El viejo celoso","Cervantes, maestro del entremés [El rufián viudo, El vizcaíno fingido, La cueva de Salamanca, El juez de los divorcios, El viejo celoso]",Hugo Medrano,Estados Unidos,Hugo Medrano,2003,,,,Hugo Medrano,,,,,,,,,
Miguel de Cervantes,,Las verdaderas aventuras de Don Quijote de La Mancha,Las verdaderas aventuras de Don Quijote de La Mancha,"Théâtre Sortie de Secours, Théâtre Pupulus Mordicus, Gataro","Canadá, Cataluña",Philippe Soldevila,07/07/2017,"Festival Internacional de Teatro Clásico de Almagro, 7-9 de julio de 2017","Abordamos la lectura de El ingenioso hidalgo Don Quijote de La Mancha como cruzaríamos la puerta de un templo. En silencio, con humildad, respeto y curiosidad. Pero cuando se hace con el
fin de realizar una adaptación, nos aborda un miedo fuera de lo común: “¿cómo honrar esta obra fundamental de la literatura mundial, revisada continuamente durante más de 400 años?”. Entonces avanzamos por este lugar sagrado, página a página, en busca de un tesoro oculto del que nadie se hubiera dado cuenta antes: con inmensa ingenuidad, por tanto...
La pregunta que hemos planteado abiertamente en esta “muy libre” adaptación es: “¿por qué se dice que El Quijote es la primera novela moderna de la historia, y por qué, aún hoy, este texto sigue siendo moderno, puesto que en todo el mundo se le sigue trayendo de vuelta al presente?”.
¿Y si esto no sólo se debe a la comicidad de las aventuras del caballero de la triste figura? ¿Y si más bien se debe a la zona singular en la que estas aventuras nacen, en la frontera entre lo verdadero y lo falso, la fina línea que separa la realidad de la ficción, la realidad de lo virtual?
Puesto que éste parece ser el rasgo más fascinante del ser humano: aquel lugar donde nacen el arte y el idealismo. Este territorio ambiguo en el que es posible considerar nuestro poder para transformar la realidad. Para cambiar el mundo
en el que vivimos.
El verdadero Alonso Quijada, al transformarse en Don Quijote de la Mancha, se ha atrevido a hacerlo.
¿Y nosotros?",,Philippe Soldevila,Christian Fontaine,"Victor Alvaro, Savina Figueras, Nicola-Frank Vachon, Pierre Robitaille, François Leclerc",Christian Fontaine,François Leclerc,"Marilyn Laflamme, Marc Doucet, Stéphane Bourgeois",Érica Schmitz,Geneviève Dorion-Coupal,"Fundación Festival Internacional de Teatro Clásico de Almagro, Grec 2017, Festival de Barcelona, Institut de Cultura de Barcelona",Corral de Comedias de Almagro
Miguel de Cervantes,,Pedro de Urdemalas,"Pedro, the Great Pretender",Royal Shakespeare Company,Reino Unido,Philip Osment,9/02/2004,,,,Mike Alfreds,,"John Ramm, Melanie Machugh, Matt Ryan",,,,,,Royal Shakespeare Company,Swan Theatre (Stratford-upon-Avon)
Miguel de Cervantes,,El ingenioso hidalgo don Quijote de La Mancha; Don Quijote,The ingenious gentleman don Quixote of La Mancha,Little Soldier Productions,Reino Unido,Tiffany Word,21/07/2015,"Festival Internacional de Teatro Clásico de Almagro, 21 de julio de 2015","Inspirados por las andanzas del famoso Don Quijote, dos españolas y un inglés se disponen
a representar una de las obras más influyentes de la literatura española del Siglo de Oro. Esta tarea mastodóntica sería más sencilla si cualquiera de las siguientes premisas fuera cierta: que hubiesen leído el libro, que el reparto fuera mayor o que hubiesen escuchado las advertencias de todos aquellos que fracasaron en el intento.
Little Soldier representa una imaginativa y provocadora aventura de inmensas proporciones donde la comedia física y la música en directo son los ingredientes de la obra más irreverente de Little Soldier hasta la fecha.",,Ian Nicholson,Sophia Simensky,"Mercè Ribot, Patricia Rodríguez, Stephen Harper, María Camahort",Seth Rook Williams,María Camahort,"Júlia Solans, Alex Brenner, Gustaf Nilsson, Caitlin Quinn Stroud",Sophia Simensky,,Bridget Floyer,Corral de Comedias de Almagro
Miguel de Cervantes,,La razón blindada (basada en El Quijote de Cervantes); Don Quijote,La razón blindada (basada en El Quijote de Cervantes),Malayerba,Hispanoamérica (Ecuador),"Arístides Vargas, Charo Francés",12/07/2005,"Festival Internacional de Teatro Clásico de Almagro, 12 de julio de 2005","Gerson Guerra y Arístides vargas emplean el mismo procedimiento que empleaban los presos políticos de la dictadura argentina en los encuentros culturales que los internos de Rawson, de forma secreta realizaban en la cárcel, no con un proposito exclusivo de rehabilitacion y testimonio, sino tambien con la intención de poder explorar la limitación como práctica artística, la economia de gestos y expresividad como técnica para narrar ""Don Quijote"".
La obra tiene diferentes lecturas en sus diferentes niveles como el gestual, el dramatúrgico, el espacial; todos atravesados constantemente por la vigilancia y el control desde afuera, desde una periferia opresiva que actualmente como presencia invisible.
No hay despliegue de tecnología, hay vacío y actuación, hay organizacion del vacío y la luz como propuesta para contar la historia de Don Quijote y Sancho Panza. No es una actuación minimalizada, es una actuación oculta y reprimida por unas circunstancias de vida. El teatro, entonces, no es un recurso cultural, no busca legitimarse en una vanguardia, busca salvar nuestra imaginación, que la cárcel no llegue hasta allí, que la posibilidad de imaginar no sea derrotada. ",,Arístides Vargas,Grupo Malayerba,"Gerson Guerra, Arístides Vargas",Elena Navarrete,Elena Navarrete,,José Rosales,,Malayerba,Corral de Comedias de Almagro
Miguel de Cervantes,,El Quijote; Don Quijote,El Quijote,Fundación Espada de Madera,Hispanoamérica (Ecuador),Patricio Estrella,15/12/2003,,,,Patricio Estrella,José Alvear,"José Alvear, Beatriz Martínez, Patricio Estrella",,Darcila Aguirre,,Beatriz Martínez,,Fundación Espada de Madera,Teatro Bolívar (Quito)
Miguel de Cervantes,,Numancia,Numancia,Teatro Nacional Cervantes,Hispanoamérica (Argentina),Daniel Suárez Marzal,20/03/2005,,"La tragedia de Numancia se inspira en hechos históricos sucedidos en una pequeña ciudad celtíbera, asentada actualmente a seis o siete kilómetros de Soria, España. El sacrificio de Numancia (133 a. de C.) aconteció tras catorces años de enfrentamiento y resistencia al gran gendarme del mundo antiguo, Roma, que, cuando por fin logró sentar la planta en la ciudad exánime, sólo encontró cadáveres y cenizas. La tragedia de Numancia tiene dimensiones tan generosas que refleja, irremediablemente, muchas otros atropellos imperiales, genocidios, procesos de a-culturalización, las facetas más perversas de lo que hoy conocemos como globalización, y también gestos hermosos, profundos y exaltadores de la dignidad humana.",https://www.teatrocervantes.gob.ar/obra/numancia-2/,Daniel Suárez Marzal,Marcelo Valiente,"Rubén Stella, Carlos Scornik, Pedro Ferraro, Alejandro Rattoni, Alter Santa Ana, Sergio Surraco Sandra Ballesteros, Sebastián Holz, Víctor Martínez, Marcelo López Foresi, Ignacio Arroche, Juan Francisco Blanquet, Leandro Finger",Nicolás Trovato,,,Mini Zuccheri,,Teatro Nacional Cervantes,Teatro Nacional Cervantes (Buenos Aires)
Miguel de Cervantes,,La gran sultana,La gran sultana,Comedia Cordobesa,Hispanoamérica (Argentina),Daniel Suárez Marzal,2005,,,,Daniel Suárez Marzal,,"María Elena Troncoso, Gonzalo Tolosa, Juan Castillo",,,,Titina Lichieri,,Comedia Cordobesa,Teatro Real (Córdoba)
Miguel de Cervantes,,El coloquio de los perros,El coloquio de los perros,LACOZ,Hispanoamérica (Uruguay),Gastón Borges,2013,"Festival Internacional de Teatro Clásico de Almagro, 26 de julio de 2016","Esta adaptación de El coloquio de los perros de Cervantes se encuadra en el proyecto Teatros
Ejemplares que se proponía la adaptación para teatro de las 12 Novelas Ejemplares. En 2016 es
seleccionado como prelanzamiento al Festival Internacional Cervantino que se llevará a cabo
en Montevideo en el mes de octubre de este año.
Entiendo el Barroco español, y no es nada nuevo, como una manera de sentir el mundo:
como inestabilidad social y como juego de máscaras donde la simulación no permite ver el Ser. La picaresca encuentra muchos elementos en común con el mundo contemporáneo: la unidad de los fragmentos, la exposición de los contenidos particulares, la imposibilidad de conocer plenamente, la obligatoria movilidad del Ser hacia diversas apariencias, son conflictos que se repiten en una época inestable como esta.
Esta versión actualiza las críticas al poder y sus abusos, la imperiosa necesidad de subsistir en una sociedad que se devora a sí misma, que fuerza a sus integrantes a reiterar comportamientos culturalmente aceptables. El coloquio recuerda los experimentos de sífilis de EEUU en la década
del 40 en Guatemala, de manera de establecer una conexión con la última novela ejemplar: El
coloquio de los perros de Cervantes se ubica en una crisis de los sistemas de salud en el siglo XVI
debido a la emergencia de la sífilis en Europa.
Esta adaptación de la novela encuentra en la enfermedad el contacto entre Europa y América, pero también recuerda la última gran crisis económica en el Río de la Plata en 2002, que hundió en la pobreza a miles de personas; así se conecta con ese inicio de la Modernidad de la cual la picaresca española es un mapa dónde poder rastrear la humanidad.",,Gastón Borges,Florencia Wencel,"Martín Bonilla, Carlos Sorriba, Adhemar Rubbo, Fernando Toja, Carolina Rebollosa","Florencia Wencel, Amalia Valerio",,,Amalia Valerio,,Gastón Borges,Montevideo
Miguel de Cervantes,,Don Quijote,Don Quijote,Teatro Camino,Hispanoamérica (Chile),Héctor Noguera,2005,,,,Héctor Noguera,,,,,,,,Teatro Camino,(Santiago de Chile)
Miguel de Cervantes,,Señor Quijote mío; Don Quijote,Señor Quijote mío,Perro Teatro,Hispanoamérica (México),Gilberto Guerrero,2001,,,,Gilberto Guerrero,,,,,,,,Perro Teatro,
Miguel de Cervantes,,Farsa quijotesca,Farsa Quixotesca,Compañia Pia-Fraus,Hispanoamérica (Brasil),Hugo Possolo,2005,"Festival Internacional de Teatro Clásico de Almagro, 18-19 de julio de 2005","El loco que lucha con molinos de viento tiene la fuerza de los dichos populares que son citados en cualquier parte del planeta. De esta universalidad inconstestable parte Pia Fraus para concebir esta locura: una escenificación donde Dulcinea, la amada que Quijote nunca encontro, cuesta su visión sobre el héroe de la triste figura.",http://piafraus.com.br/site/eng/farsa-quixotesca/,Hugo Possolo,"Hugo Posolo
Pia Fraus","Hugo Posolo, Raul Barreto, Marcelo Castro, Claudinei Brandao, Beto Andretta, Enrique Stroeter, Junia Busch",Wagner Freire,Téo Ponciano,,Sonia Ushiyama,,Compañía Pia Fraus,
Miguel de Cervantes,,El Quijote; Don Quijote,El Quijote,La Candelaria,Hispanoamérica (Colombia),Santiago Garcia,02/07/2011,"Festival Internacional de Teatro Clásico de Almagro, 15-16 de julio de 2005","La propuesta teatral de La Candelaria sobre el Quijote está sustentada fundamentalmente en la acción, como conflicto u oposición de fuerzas antagónicas en una serie de aventuras extraídas de la novela de Cervantes con la que se organiza una estructura. Se intenta rescatar el espíritu festivo e irónico del texto clásico y se plantea como temática, actual, la necesidad de una utopía. La obra consta de doce cuadros caracterizados cada uno por un incidente.
1. La aventura de la barca encantada
2. El diálogo de los encantamientos
3. La aventura de los leones
4. Encuentro con la Dulcinea
5. Encuentro con los duques
6. Aparición del mago Merlín
7. Los consejos a Sancho para gobernar la ínsula
8. Gobierno de la ínsula por parte de Sanho Panza
9. Encuentro con los comediantes
10. Los azotes de Sancho
11. Aventura de la Princesa Micomicona
12. Aventura final: encuentro con una procesión de la Dolorosa que Don Quijote confunde con una dama dolorida, es apaleado y vuelto a enaular para regresar a su casa

",,Santiago García,Pedro Alcántara,"Cesar Badillo, Fernando Peñuela, Patricia Ariza, Alexandra Escobar, Rafael Giraldo, Hernando Forero, Fabio Velazco, Libardo Florez, Fanny Baena, Nora Ayala, Carmiña Martínez, Fernando Mendoza, Nora González, Francisco Martínez, Shirley Martínez",Carlos Robledo,Hernando Forero,,Pedro Alcántara,,La Candelaria,Teatro Mayor Julio Mario Santo de Domingo (Bogotá)
Miguel de Cervantes,,Coloquio de los perros; El coloquio de los perros,Coloquio de los perros,Laboratorio Escénico Univalle,Hispanoamérica (Colombia),"Ma Zhenghong, Alejandro González Puche",20/09/2013,"Festival Internacional de Teatro Clásico de Almagro, 17-18 de julio de 2014; Festival de Teatro Clásico de Olmedo, 23 de julio de 2014","En el Coloquio de los perros encontramos un curioso sujeto, donde los protagonistas son dos perros que dialogan entre sí. El testimonio de este inusual diálogo llega a nuestras manos gracias a un enfermo que, recluido en el hospital, escucha la conversación entre los canes.
El Coloquio se convierte en un descarnado y valioso retrato ético, religioso, social y artístico del Barroco español.
Esta novela ejemplar guarda un interesante vínculo con Sigmund Freud, quien consideró este diálogo como un modelo excepcional de la relación entre el terapeuta y el paciente; y utilizó el nombre de Cipión, uno de los perros,
como su seudónimo juvenil.
El Coloquio de los perros representa la novela ejemplar más personal y original de Miguel de Cervantes. En ella dos perros adquieren, por una noche, el divino don del habla; Berganza, uno de los canes, relata a Cipión las vicisitudes con cada uno de sus amos, cuya vida deambula entre carniceros, pastores, militares, actores y enfermos, por lo que la galería de personajes le permiten transmitir el divertido y crudo relato sobre la condición humana. Siete actores introducen al espectador en los rincones mas íntimos del Barroco español, alternando diferentes convenciones teatrales y trasmitiendo el escéptico humor cervantino. Con vestuario y escenografía del maestro Pedro Ruiz, y música original del maestro Pablo Gutiérrez, los actores desfilan por un sinnúmero de papeles, lo que convierte la puesta en escena en un versátil juego.",https://escenicas.univalle.edu.co/noticias/item/165-coloquio-de-los-perros,"Ma Zhenghong, Alejandro González Puche",Pedro Ruiz,"Diana María Valencia, Johanna Robledo, David Valencia, Andrés Pérez, Julián Mauricio Gómez, Nathaly Vargas Aguado, Tatiana Toro",,Paulo Gutiérrez,"Tony D'Fabrici, David Valencia","Pedro Ruiz, Magola Hernández, Horacio Bastidas",,Nathaly Vargas Aguado,Teatro Univalle 
