Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Lope de Vega,,El amor enamorado,2022,Mic Producciones Teatrales,Fernando Sansegundo,22 de julio de 2022,Festival internacional de Teatro Clásico de Almagro,"El Amor Enamorado es una pieza donde la voluntad de los hombres triunfa sobre el designio de los dioses, sobre sus caprichosos engañosos, sobre sus flechas del amor, y donde las envidias y los celos terminan fracasando, y termina siendo una fiesta en un claro del bosque, con sus senderos de entrada y salida, con su parte de atrás donde se libran batallas de desamor, con sus recovecos detrás del follaje, con sus vaivenes por debajo de la mesa.

​

También es un pueblo entero uniéndose para luchar contra la adversidad que lo devora, una fuerza maligna, descomunal y asesina encarnado en la serpiente Pitón; y es el proceso de asimilación de liderazgo en torno a esta lucha. Este aspecto, nos liga fuertemente con la actualidad más reciente.",https://www.micproducciones.com/el-amor-enamorado,Borja Rodríguez,Juanjo González Ferrero,"Teté Delgado, Juan de Vera, Abraham Arenas, Raquel Nogueira, Anabel Maurín, Rafa Núñez, Alba Cuartero y Rubén Casteiva",Juanjo Llorens,Rubén Berraquero,,Yeray González Ropero,,Mic Producciones Teatrales,"Antigua Universidad Renacentista de Almadro, Ciudad Real",
Lope de Vega,,Arte nuevo de hacer melindres en estos tiempos,2022,Cía Kazo Teatro,,28 de julio de 2022,,"Una compañía de teatro decide montar Los melindres de Belisa como una gran apuesta de modernidad (fundamentalmente por no tener dinero para pagar un vestuario y un decorado ‘de época’).

En su deseo de contemporaneizar el espectáculo se van encontrando con que las mejores soluciones ya las había aportado el propio autor en su obra Arte nuevo de hacer comedias en este tiempo, en la que Lope de Vega estableció sus propias reglas a la hora de escribir teatro clásico.

Siguiendo sus preceptos, la compañía irá ajustando su inapropiada puesta en escena a una justa situación escénica que contempla tanto la necesidad de la obra como los deseos de los espectadores.",https://teatromadrid.com/espectaculo/arte-nuevo-de-hacer-melindres-en-estos-tiempos,Juan Polanco,Luis Sanz,"Alba Amat, Luz Araque, Luis Burgaz, Dani Jara, Nacho León, Raquel Robles, Jesús Rodríguez y Cristina Subirats.",Juan Polanco,Cía Kazo,,Cía Kazo,,Cía Kazo Teatro,Sala Nave 73 de Madrid,
Lope de Vega,,Peribáñez y el comendador de Ocaña,2021,Noviembre Teatro,Yolanda Pallín,29 de enero de 2021,,"La historia de Peribáñez y el Comendador de Ocaña es la del villano que se enfrenta al poderoso, que no cede ante el abuso de poder; algo impensable para la sociedad de la época. Un personaje habitual en los dramas del Siglo de Oro, protagonista de uno de los géneros más populares de su tiempo: el drama de honor, concretado también como el drama “de comendadores”. El contexto rural el labrador voluntarioso debe traspasar sus límites sociales para detener al representante del poder que, desmedido, amenaza su valor más preciado: el honor.

Peribáñez defiende algo que se nos antoja muy moderno pero que pertenece al ser humano como un valor universal: la dignidad personal. 

En esta obra Lope aúna las cualidades que definen y aportan valor a su producción dramática como la ruptura de las leyes aristotélicas, un concepto del teatro como arte para entretener al espectador y una carpintería teatral que crearía escuela más allá de su tiempo.

Una obra escrita en plenitud de facultades, cuando el poeta ya domina y realza su propio sistema de escritura. ",https://www.noviembreteatro.es/hist%C3%B3rico/perib%C3%A1%C3%B1ez-y-el-comendador-de-oca%C3%B1a-2021/,Eduardo Vasco,Carolina González,"Rafael Ortiz, Isabel Rode, Alberto Gómez Taboada, Elena Rayos, José Ramón Iglesias, Francisco Rojas, José Vicente Ramos y Daniel Santos",Miguel Ángel Camacho,Eduardo Vasco,,Lorenzo Caprile,,Noviembre Teatr,Teatro Calderón de Valladolid,
Lope de Vega,,Los guanches de Tenerife y conquista de Canarias,2021,Cía. Garcilasos,Jesús Román,24 de junio de 2021,,"Conquistadores castellanos, al mando del general don Alonso de Lugo, vuelven
a Tenerife con ánimo de conquistarla para la corona. El capitán Castillo sale a
explorar la isla y allí encuentra a la hija del Mencey Bencomo, la princesa Dácil.
Surge el amor, pese a pertenecer a pueblos enemigos, y el alma del valiente
soldado queda prendida del cuerpo de la princesa haciendo imposible el olvido.
Llega la batalla y los castellanos son derrotados en la terrible matanza de
Acentejo. Castillo queda herido en la isla, cuidado y protegido por Dácil a quien
se promete y jura su amor y lealtad ante una peña.
Mientras, unos pastores descubran en una cueva a una extraña mujer con un
niño en brazos y una candela en su mano. Extraños sucesos se producen.
Tiempo después, regresan los españoles y esta vez vencen a los guanches,
reencontrándose Castillo y sus compañeros conquistadores. El rey Bencomo se
rinde ante don Alonso. Castillo, ya entre los triunfadores, ha olvidado su
promesa de matrimonio con la princesa, quien se la reclama.
Entonces, aparece la imagen de la Virgen de la Candelaria (escondida en la
cueva) y se obra el doble milagro: vence el amor y los dos pueblos se funden en
uno solo sin esclavos ni conquistadores.",https://garcilasos.es/lope/,Jesús Román,Javier Martínez,"José Luis Matienzo, José Luis Chavarría, Carlos Ceña, Daniel Reyes, José Soto, Caly Hernández, Elena del Rosario, Nacho Ortega y Tony Galán",,,,Margarita Román,Emma Sánchez,Cía. Garcilasos,,
Lope de Vega,,Las bizarrías de Belisa,2021,Clásicos on the Road,Antonio Alcalde,23 de julio de 2021,Festival internacional de Teatro Clásico de Almagro,"En nuestra versión de Las bizarrías de Belisa, trasladamos la acción del Madrid del S.XVII, al México de mediados del S.XIX, a finales de la década de 1830, años posteriores a la Independencia del reino de España y anteriores a la guerra con Estados Unidos; a una ciudad pujante con río y soto, como el Madrid de Lope, que bien podrían ser Santa Fe en Nuevo México o San Antonio de Béjar en Texas, ambas verdaderas capitales de la Frontera.

Una obra con tanta acción y duelos como Las bizarrías de Belisa, y con un personaje femenino tan poderoso y tan bravo, se adaptaba perfectamente a ese ambiente de pre-western, de aventura y de peligro que asociamos a la Frontera, no sólo como espacio físico, sino como realidad cultural y vital, ceñida a sus propias reglas de supervivencia. Así mismo, vestir la obra de la luz y el color de México puede ser un auténtico goce estético, cómico y sensorial para el espectador.",https://www.festivaldealmagro.com/programa/las-bizarrias-de-belisa/,Antonio Alcalde,Isabel Mata,"Isabel Mata, Álvaro Molero, Iolanda Rubio, Álvaro Subiés, Enrique Meléndez y Antonio Alcalde",Irene Carballo,"E. Morricone, Rossini, E. Bernstein, Juventino Rosas",,Isabel Mata,,Clásicos on the Road,Corral de Comedias,
Lope de Vega,,La boba para los otros,2021,2Rc Producciones,Luis O'Malley,8 de octubre de 2021,"Festival iberoamericano del Siglo de Oro, Festival de Teatro Clásico de Olmedo","La boba para los otros… narra las estratagemas de Diana, una joven
criada en el campo que, tras descubrir que es hija natural del duque de
Urbino, se fingirá boba en la corte hasta conseguir reclamar el título de
duquesa que le corresponde de manera natural.
Para lograrlo, ha de disputar con su prima Teodora, quién reclama
también el título de duquesa y quien se ve con más derecho por ser la
que ha compartido la vida de la corte con el fallecido duque.
Los falsos pretendientes no faltarán y las traiciones tampoco, pero
Diana cuenta con aliados que la ayudaran en su nueva vida cortesana y
que velarán por que alcance sus pretensiones.
El amor también tiene su lugar en la comedia, apareciendo de la mano
de Alejandro de Médici quien pondrá todo su poder militar al servicio de
la joven Diana.",https://www.2rcteatro.es/la-boba-para-los-otros/,Rafael Rodríguez,Carlos Santos,"Alicia Ramos, Rosa Escrig, Miguel Ángel Maciel, Rubén Darío. Luis O' Malley, Maykol Hernández, Sara Álvarez, Ximo Martínez y Sofía García",Iban Negrín,Isabel Álvarez y Ximo Martínez,,Raúl Ravelo 'Parrys',,2Rc Producciones,Teatro Pérez Galdós de Las Palmas de Gran Canaria,
Lope de Vega,,"Fuenteovejuna, historia de un maltrato",2021,La Morena; Jóvenez Clásicos,Marianella Morena,16 de octubre de 2021,,"El mundo hizo foco sobre los supermercados cuando permanecían abiertos en medio de ciudades fantasmas. Se resignificó el templo de las angustias, las tensiones y el miedo quedaron en primera línea de fuego. Las góndolas llenas , las góndolas vacías, y el personal invisible pasó a ser aplaudido. Nunca antes habíamos imaginado esta convivencia.

Fuenteovejuna situada en un supermercado actual, dialoga con la palabra antigua como un alimento no perecedero, desde la necesidad fisiológica y existencial del diálogo, desde la naturaleza imprescindible del diálogo, desde la poética comunitaria del diálogo, porque nos permite ensanchar el verso para que ingrese todo el presente que sea posible.",https://jovenesclasicos.com/fuenteovejuna/,Marianella Morena,Ivana Domíngu,"Mané Pérez, José Luis Torrijo, Cris Iglesias, José Carlos Cuevas y Carmen Baquero. ",Pedro Hofhuis,Mané Pérez y Pablo Musetti,,Dita Segura y Carolina Torralba,,La Morena; Jóvenes Clásicos,Teatro del Títere de la Tía Norica de Cádiz,
Lope de Vega,,El perro del hortelano,2021,Vània Produccions; Sofía Aguilar Producciones de Arte,Paco Mir,2 de julio de 2021,Festival internacional de Teatro Clásico de Almagro,"Nuestra función entra de pleno dentro del género de TEATRO DENTRO DEL TEATRO. Por una parte tenemos la trama de esos dos técnicos que se ven obligados a sacar adelante una función sin apenas medios y por otra se pone en escena el texto original de Lope de Vega.

La trama de los técnicos nos hablará de las dificultades de las compañías itinerantes para levantar producciones y de las soluciones para salir del paso ante cualquier contingencia. La que se vive en esta función es de las más complicadas: dos técnicos sin escenografía y sin vestuario se comprometen a representar una función acompañados por dos actrices que acaban de conocer. Todo un reto.

La trama del PERRO DEL HORTELANO es una obra palatina de enredo en la que una Condesa, viendo que una de sus criadas se ha enamorado de su secretario, tiene un ataque de celos y, olvidándose de la diferencia de clases, se encapricha de su sirviente a pesar de que su honor de condesa pueda quedar mancillado. Los pretendientes de la Condesa, alarmados por los acontecimientos, contratan a un matador para librarse del sirviente pero, a última hora, una argucia convierte al secretario en el hijo perdido de un Conde, por lo que la boda entre la Condesa y su sirviente pone un final feliz a la comedia.",https://www.festivaldealmagro.com/programa/el-perro-del-hortelano-2/,Paco Mir,Paco Miir,"Moncho Sánchez-Diezma, Manuel Monteagudo, Paqui Montoya y Amparo Marín.",Manuel Madueño,Juan Padilla,,Mai Canto,,Vània Produccions; Sofía Aguilar Producciones de Arte,"Corral de Comedias de Almagro, Ciudad Real",
Lope de Vega,,El perro del hortelano,2021,Fundación Siglo de Oro,Dominic Dromgoole y el Colectivo.,3 de abril de 2021,,"La acción, que se desarrolla en Nápoles, narra la historia de Diana, Condesa de Belflor. Diana es una joven hermosa y obstinada a la que acosan varios pretendientes aristocráticos que desean casarse con ella. Sin embargo, Diana rechaza constantemente todos sus intentos.

 

Una noche, después de ver a su secretario hacer el amor con su dama de compañía favorita, se enamora locamente de él y enferma de celos.

 

Esta es la historia de un triángulo amoroso, de amores prohibidos y traiciones, que acontece cuando Nápoles era una ciudad española. Así, la casa de la Condesa manipulada por los nobles representa a esa parte de la sociedad española que vivía fuera del país.

 

El hecho de situar la acción en esta ciudad europea permite, además, que la obra esté llena de influencias y tramas italianas a las que era tan aficionado Lope de Vega.",https://www.fundacionsiglodeoro.org/exhibition/el-perro-del-hortelano-2023/,Dominic Dromgoole,Anna Gil,"María Pastor, Nicolás Illoro, Raquel Varela, Raquel Nogueira, Manuela Morales, Mar Calvo, Daniel Llul, Julio Hidalgo y Mario Vedoya.",Fernando Martínez,Xabier Díaz la Torre,,Jonathan Fensom,Patricia Ruz,Fundación Siglo de Oro,Verde de los Teatros del Canal de Madrid,
Lope de Vega,,El caballero de Olmedo,2021,Producciones La Barraca & Cía.,Sergio Adillo,16 de junio de 2021,Festival de Teatro Clásico de Cáceres,"En torno a 1620 Lope de Vega escribe una de sus obras maestras más representativas; ""El Caballero de Olmedo"". Su ambiente dramático refleja los sentimientos del amor de Don Alonso y Doña Inés, marcados ambos, por el destino fatal de éste, en relación a los celos de Don Rodrigo.

Producciones La Barraca & Cía. hace una apuesta clara por desarrollar un lenguaje escénico propio y distintivo basado en la seña de identidad que supone la dirección de Pedro Luis López Bellot y la coreografía de Jesús Custodio, junto a la versión dramatúrgica de Sergio Adillo, que serán quienes aúnen la palabra con la danza española y el flamenco.",https://www.granteatrocc.com/espectaculo.php?id=2378,Pedro Luis López Bellot,del Colectivo,"Sergio Adillo, Nuqui Fernández, Fermín Núñez, Sergio Gato. Intérpretes-músicos: Manuel Pajares, Sara Castro, Jesús Custodio, Pricila Álvarez, Joaquín Simarro y Marina Madiedo",Jorge Rubio,Manuel Pajares y Sara Castro,,Juanjo Grajera,Jesús Custodio,Producciones La Barraca & Cía.; Festival de Teatro Clásico de Cáceres,Plaza de las Veletas de Cáceres,
Lope de Vega,,El animal de Hungría,2021,Colectivo Allatok; EscénaTe,Brenda Escobedo y Ernesto Arias,12 de junio de 2021,,"Este proyecto nace del Colectivo Állatok, un grupo de 8 actorxs jóvenes (4 actrices y 4 actores menores de 30 años), talentos emergentes, con enorme interés por los clásicos españoles del siglo de oro, empeñados en formarse y adiestrarse en el manejo del verso y ansiosos por adquirir el conocimiento y experiencia para desenvolverse con esos textos. Tras ponerse en contacto con Ernesto Arias, para que les impartiese un taller al respecto, realizaron un periodo de dos meses de instrucción y entrenamiento en el verso. Una vez finalizado, y siguiendo con el anhelo de perseverar con la formación, se decidió abordar el estudio, análisis y exploración de un texto concreto desde las diferentes perspectivas teatrales: interpretativa, dramatúrgica y de puesta en escena. Después de la lectura de gran número de obras se escogió EL ANIMAL DE HUNGRÍA de Lope de Vega, sobre todo por ser una obra desconocida que permitía adentrarse en su estudio sin las ideas preconcebidas que se tendrían de alguno de los textos más conocidos y representados. Tras otro periodo de dos meses de exploración y profundización en la obra, se fue descubriendo un texto de enorme calidad poética y a la vez con gran sentido del humor, fundamentada en una historia fascinante, atractiva y cautivadora. Al finalizar este periodo se tomó la decisión de tratar de abordar su producción y su puesta en escena.",https://escenate.es/proyecto/el-animal-de-hungria/,Ernesto Arias,Álvaro Sobrino,"Antonio Prieto Díaz, Gonzalo Lasso, Inés González, Jorge de la Cruz, Laura Ferrer, Natalia Llorente, Nora Hernández y Óscar Fervaz",Raquel Rodríguez,Jorge Eliseo,,Nuria Martínez,Lidia Otón,Colectivo Allatok; EscénaTe,"Corral de Comedias de Alcalá de Henares, Madrid",
,,,,,,,,,,,,,,,,,,,,
Lope de Vega,,Distrito Fuenteovejuna,2021,Movimiento Sempiterno,Francisco Valcarce,Verano 2020,,"¿Qué pasaría si agotásemos todos los recursos del planeta?

¿Qué ocurriría si la contaminación asolase la Tierra y no pudiéramos casi ni respirar?

¿Cómo haríamos frente a virus y pandemias en lo que podría ser el principio de una guerra bacteriológica?

Los políticos y militares tendrían que tomar medidas drásticas que cambiarían mucho nuestra forma de vida. 
Con esas medidas termina la libertad y comienza Distrito Fuenteovejuna.

Basándonos en la idea de Fuenteovejuna de Lope de Vega, hemos querido reflejar una sociedad distópica en
la que los poderosos siguen manteniendo el control y los demás seguimos siendo sus marionetas.

Pero, ¿qué ocurre cuando alguien dice basta? ¿Y si ese alguien son muchos en lugar de uno? Igual que
rezaba el clásico hace cuatrocientos años, todos a una, hemos readaptado la obra para que llegue a oídos
de la gente y para que se vea que las cosas aún tienen que seguir mejorando.",https://movimiento2.jimdofree.com/distrito-fuenteovejuna/,Francisco Valcarce,Francisco Valcarce,"Adrián Mateo, Ana Peña, Enrique Uhalte, Gabriela Pulgar, Iván Ruiz Céspedes, Luis Turpín, Majo Pírez, Manuel Monteagudo y Susana Rodríguez",Francisco Valcarce y Cristóbal Arias,Daniel Sanz Torres,,Del Colectivo,Mercedes Campos y Gloria Santolaria.,Movimiento Sempiterno,???,
Lope de Vega,,Canciones de Olmedo,2020,Jóvenes Clásicos,José Carlos Cuevas,15 de noviembre de 2020,Festival LA ESCENA 2020,"Canciones de Olmedo es una adaptación musical de «El caballero de Olmedo» de Lope de Vega, para el Festival LA ESCENA 2020, primer Festival de Teatro Clásico Hispánico de Los Ángeles. Basándonos en la musicalidad propia del verso, hemos concebido este espectáculo con diez canciones originales y una puesta de escena que se enmarca en un club musical en clara alusión a la estética de los años 50. Canciones de Olmedo es, en definitiva, una reminiscencia del aroma que emanan los versos del Fénix de los Ingenios, un canto melancólico y nostálgico al amor y al desamor.",https://jovenesclasicos.com/canciones-de-olmedo/,José Carlos Cuevas,,"José Pastor, Pape Labraca, Virginia Nölting, Javier Cereto, Ana Saavedra, Franc González y Teresa Alba",Pablo Lomba,Nacho Doña,,Isabel Alba,Lorena Roncero,Jóvenes Clásicos,"Online. Grabado en el Teatro del Soho, Málaga",
